study_hours_per_week,attendance_rate,midterm_score,homework_avg_score,sleep_hours_per_night,time_on_social_media_min_per_day,gender,commute_time_minutes,has_part_time_job,favorite_music_genre,final_exam_score
33.7,0.78,65.0,63.0,8.1,101.0,1.0,90.0,1.0,energetic,100.0
18.4,0.74,42.0,43.0,5.6,225.0,1.0,84.0,1.0,energetic,73.0
39.8,1.0,69.0,41.0,8.6,240.0,1.0,46.0,0.0,energetic,100.0
12.8,0.54,93.0,67.0,8.0,112.0,1.0,52.0,1.0,calm,84.0
26.0,0.78,74.0,49.0,8.8,58.0,0.0,51.0,0.0,calm,91.0
18.4,0.61,74.0,58.0,7.8,175.0,1.0,68.0,0.0,calm,87.0
17.4,0.71,80.0,71.0,8.0,211.0,1.0,84.0,0.0,calm,91.0
14.3,0.58,79.0,69.0,4.8,244.0,0.0,73.0,1.0,calm,77.0
5.8,0.46,51.0,58.0,4.0,58.0,1.0,86.0,0.0,calm,59.0
8.4,0.66,55.0,66.0,9.1,264.0,0.0,57.0,0.0,energetic,76.0
33.2,0.85,56.0,65.0,6.2,98.0,0.0,18.0,1.0,calm,97.0
30.4,0.85,46.0,38.0,4.0,272.0,1.0,20.0,,calm,84.0
38.5,0.68,63.0,64.0,7.2,218.0,1.0,28.0,1.0,calm,96.0
18.6,0.63,61.0,44.0,7.4,212.0,1.0,23.0,0.0,energetic,76.0
23.1,0.78,80.0,44.0,15.499019402463084,211.0,0.0,47.0,0.0,calm,92.0
32.4,0.71,43.0,36.0,5.2,77.0,1.0,74.0,1.0,calm,87.0
36.1,0.79,83.0,52.0,9.4,102.0,1.0,41.0,1.0,energetic,100.0
20.1,0.69,91.0,73.0,6.3,131.0,0.0,80.0,0.0,calm,92.0
12.1,0.61,83.0,53.0,6.5,63.0,0.0,79.0,0.0,calm,84.0
31.7,0.84,52.0,59.0,4.1,90.0,0.0,19.0,1.0,energetic,95.0
22.0,0.77,78.0,59.0,6.3,236.0,0.0,187.39006887276315,0.0,calm,89.0
25.2,0.64,63.0,65.0,4.0,98.0,0.0,6.0,0.0,calm,89.0
10.3,0.58,50.0,63.0,6.3,156.0,0.0,84.0,0.0,energetic,70.0
6.0,0.57,60.0,59.0,5.3,130.0,1.0,20.0,0.0,calm,71.0
30.4,0.79,81.0,65.0,6.8,79.0,0.0,66.0,0.0,energetic,100.0
28.3,0.81,66.0,58.0,9.7,192.0,1.0,42.0,0.0,energetic,98.0
36.5,0.76,94.0,50.0,9.5,164.0,0.0,5.0,1.0,energetic,100.0
26.4,0.75,40.0,46.0,6.1,61.0,0.0,12.0,1.0,calm,75.0
36.2,0.82,72.0,67.0,4.6,255.0,0.0,66.0,1.0,calm,100.0
36.2,0.88,81.0,56.0,8.9,145.0,0.0,22.0,1.0,calm,100.0
27.9,0.75,67.0,65.0,5.2,36.0,1.0,56.0,1.0,calm,100.0
19.6,0.73,91.0,106.65870351830199,8.2,272.0,0.0,18.0,0.0,calm,92.0
29.5,0.93,42.0,38.0,4.5,142.0,0.0,30.0,1.0,energetic,85.0
34.5,0.77,64.0,43.0,9.0,185.0,1.0,74.0,0.0,energetic,93.0
39.2,0.86,46.0,47.0,8.4,52.0,0.0,33.0,0.0,calm,100.0
34.5,0.78,44.0,59.0,7.3,279.0,1.0,76.0,1.0,calm,90.0
22.5,0.74,48.0,36.0,7.8,100.0,0.0,30.0,1.0,calm,80.0
35.0,0.72,51.0,54.0,4.5,234.0,1.0,66.0,1.0,energetic,95.0
19.6,0.73,94.0,74.0,5.7,198.0,1.0,26.0,0.0,energetic,100.0
8.1,0.68,77.0,57.0,5.4,72.0,0.0,73.0,1.0,calm,82.0
39.4,0.98,92.0,74.0,8.4,142.0,1.0,43.0,0.0,energetic,100.0
6.9,0.4,65.0,67.0,4.6,77.0,1.0,71.0,0.0,calm,74.0
35.9,0.62,93.0,62.0,4.3,197.0,1.0,71.0,0.0,calm,100.0
12.4,0.52,63.0,54.0,9.5,213.0,1.0,46.0,1.0,energetic,70.0
34.7,0.82,55.0,41.0,5.4,48.0,0.0,60.0,0.0,energetic,93.0
9.9,0.47,46.0,52.0,7.0,237.0,1.0,67.0,0.0,energetic,60.0
29.5,0.74,50.0,35.0,5.0,521.5323650124151,1.0,73.0,0.0,calm,83.0
39.4,1.0,78.0,47.0,8.2,62.0,0.0,90.0,0.0,energetic,100.0
37.4,1.0,80.0,62.0,4.0,131.0,0.0,31.0,1.0,energetic,100.0
38.2,1.0,,62.0,4.7,183.0,0.0,67.0,1.0,energetic,95.0
23.0,0.6,88.0,76.0,6.8,58.0,0.0,51.0,0.0,energetic,95.0
36.3,0.91,73.0,44.0,5.5,98.0,0.0,58.0,1.0,calm,100.0
34.3,0.85,88.0,70.0,9.2,167.0,0.0,85.0,0.0,calm,100.0
18.2,0.7,67.0,45.0,4.1,135.0,1.0,10.0,1.0,calm,82.0
7.2,0.44,73.0,63.0,8.0,166.0,0.0,37.0,0.0,energetic,66.0
15.2,0.61,63.0,67.0,8.9,66.0,1.0,68.0,0.0,energetic,79.0
9.4,0.48,89.0,74.0,7.8,232.0,1.0,81.0,0.0,calm,84.0
21.8,0.72,89.0,58.0,8.6,81.0,0.0,70.0,0.0,energetic,100.0
31.5,0.83,64.0,41.0,9.4,108.0,1.0,82.0,0.0,energetic,89.0
34.6,0.83,89.0,73.0,9.5,235.0,0.0,37.0,0.0,energetic,100.0
19.9,0.59,90.0,57.0,6.8,217.0,0.0,29.0,1.0,calm,94.0
16.1,0.71,80.0,68.0,8.9,62.0,1.0,60.0,0.0,energetic,98.0
16.2,0.59,78.0,62.0,4.3,241.0,0.0,54.0,1.0,energetic,78.0
18.5,0.75,82.0,57.0,7.4,121.0,0.0,64.0,0.0,calm,88.0
8.3,0.39,40.0,36.0,8.7,52.0,1.0,22.0,0.0,calm,62.0
29.1,0.89,51.0,36.0,6.8,105.0,1.0,37.0,0.0,calm,94.0
38.6,0.81,88.0,56.0,6.5,237.0,0.0,61.0,0.0,calm,100.0
19.2,0.56,84.0,50.0,4.0,207.0,1.0,24.0,1.0,energetic,84.0
32.6,0.83,57.0,51.0,9.6,164.0,1.0,27.0,0.0,calm,98.0
20.8,0.67,78.0,44.0,6.0,240.0,1.0,35.0,0.0,energetic,86.0
22.9,0.59,92.0,63.0,7.6,35.0,0.0,88.0,1.0,calm,99.0
17.1,0.7,82.0,59.0,5.8,129.0,1.0,53.0,0.0,calm,86.0
17.0,0.7,77.0,70.0,4.2,269.0,1.0,41.0,1.0,energetic,84.0
19.2,0.85,94.0,59.0,9.8,162.0,0.0,74.0,0.0,calm,94.0
28.6,0.8,74.0,57.0,7.5,253.0,1.0,79.0,0.0,calm,93.0
18.9,0.87,58.0,46.0,7.7,530.294581526563,0.0,23.0,0.0,calm,85.0
24.0,0.81,64.0,64.0,7.3,217.0,1.0,23.0,1.0,energetic,90.0
28.1,0.63,93.0,61.0,9.9,252.0,0.0,25.0,1.0,energetic,96.0
22.5,0.55,81.0,70.0,7.9,241.0,0.0,45.0,0.0,energetic,95.0
10.7,0.48,46.0,53.0,6.4,191.0,0.0,69.0,1.0,calm,61.0
34.3,0.76,40.0,43.0,5.5,296.0,1.0,30.0,1.0,calm,88.0
24.0,0.67,59.0,61.0,9.6,90.0,0.0,57.0,0.0,calm,86.0
6.1,0.75,89.0,68.0,4.6,254.0,0.0,28.0,1.0,energetic,81.0
12.1,0.55,79.0,58.0,6.5,193.0,1.0,7.0,0.0,calm,84.0
19.2,0.7,46.0,44.0,8.5,191.0,0.0,87.0,0.0,energetic,71.0
28.3,0.78,51.0,56.0,8.9,232.0,0.0,17.0,0.0,energetic,82.0
15.8,0.67,86.0,63.0,8.3,110.0,0.0,7.0,0.0,calm,85.0
33.8,0.73,41.0,41.0,8.5,290.0,0.0,57.0,0.0,calm,79.0
30.1,0.89,46.0,47.0,4.7,205.0,0.0,62.0,0.0,energetic,79.0
9.8,0.49,93.0,62.0,8.1,275.0,1.0,81.0,1.0,calm,78.0
26.9,0.89,83.0,50.0,9.6,205.0,0.0,57.0,1.0,energetic,96.0
10.3,0.58,42.0,53.0,9.9,146.0,1.0,78.0,1.0,energetic,64.0
11.1,0.7,94.0,72.0,6.0,270.0,1.0,5.0,0.0,calm,91.0
5.1,0.63,94.0,75.0,4.7,88.0,0.0,63.0,1.0,calm,79.0
17.7,0.56,60.0,42.0,4.3,113.0,1.0,39.0,0.0,energetic,71.0
30.2,0.66,54.0,41.0,7.1,52.0,0.0,84.0,1.0,energetic,89.0
29.6,0.65,53.0,46.0,4.2,240.0,0.0,7.0,1.0,energetic,76.0
23.2,0.64,47.0,57.0,6.7,205.0,1.0,59.0,0.0,calm,81.0
14.1,0.53,44.0,46.0,4.8,192.0,0.0,75.0,0.0,energetic,63.0
15.1,0.66,70.0,42.0,9.6,182.0,1.0,39.0,1.0,energetic,76.0
24.4,0.63,60.0,38.0,7.2,297.0,0.0,53.0,0.0,energetic,78.0
20.8,0.57,62.0,65.0,7.1,123.0,0.0,72.0,0.0,calm,87.0
35.7,1.0,85.0,52.0,6.2,97.0,1.0,46.0,1.0,energetic,100.0
11.1,0.41,44.0,60.0,10.0,292.0,0.0,65.0,1.0,energetic,57.0
36.0,0.88,43.0,35.0,6.1,298.0,0.0,60.0,1.0,calm,90.0
22.1,0.73,41.0,47.0,8.5,263.0,1.0,19.0,0.0,calm,67.0
25.6,0.61,79.0,70.0,8.1,285.0,0.0,76.0,0.0,energetic,88.0
38.9,0.94,92.0,60.0,9.8,99.0,1.0,23.0,1.0,energetic,100.0
33.6,0.71,58.0,52.0,5.9,292.0,1.0,81.0,0.0,energetic,94.0
35.0,0.7,49.0,56.0,9.3,286.0,0.0,57.0,1.0,calm,87.0
16.8,0.72,67.0,46.0,8.1,65.0,1.0,11.0,0.0,calm,80.0
15.5,0.71,44.0,55.0,6.5,191.0,1.0,23.0,1.0,calm,74.0
24.2,0.62,57.0,54.0,4.5,284.0,1.0,45.0,1.0,energetic,81.0
7.0,0.6,82.0,51.0,4.0,86.0,1.0,72.0,0.0,energetic,77.0
6.4,0.34,43.0,52.0,8.1,119.0,0.0,15.0,0.0,calm,60.0
35.8,0.68,-20.107189956051954,69.0,5.6,65.0,1.0,48.0,1.0,calm,100.0
38.9,0.85,58.0,50.0,6.1,216.0,0.0,55.0,1.0,calm,100.0
20.6,0.81,69.0,60.0,4.5,163.0,1.0,31.0,0.0,energetic,86.0
14.0,0.53,88.0,47.0,5.0,66.0,1.0,79.0,0.0,calm,92.0
6.6,0.68,83.0,63.0,8.3,64.0,1.0,42.0,0.0,calm,85.0
26.1,0.74,71.0,54.0,9.1,244.0,0.0,28.0,1.0,energetic,92.0
39.3,0.72,40.0,45.0,7.3,146.0,1.0,84.0,1.0,calm,93.0
33.8,0.75,71.0,57.0,4.2,102.0,1.0,83.0,1.0,calm,100.0
35.5,0.72,68.0,52.0,5.2,282.0,0.0,7.0,0.0,calm,94.0
29.0,0.86,81.0,54.0,6.0,115.0,0.0,43.0,1.0,calm,93.0
19.2,0.72,48.0,55.0,4.3,158.0,1.0,77.0,0.0,energetic,70.0
22.5,0.73,83.0,56.0,8.9,250.0,1.0,8.0,0.0,energetic,95.0
7.8,0.6,49.0,56.0,5.3,246.0,1.0,55.0,0.0,calm,70.0
18.6,0.74,87.0,47.0,4.4,81.0,0.0,84.0,0.0,calm,92.0
5.5,0.6,49.0,37.0,8.2,81.0,0.0,64.0,1.0,calm,59.0
24.4,0.61,83.0,66.0,5.8,148.0,1.0,54.0,1.0,energetic,98.0
29.9,0.68,44.0,46.0,9.3,193.0,0.0,41.0,1.0,calm,78.0
36.5,0.66,95.0,60.0,8.6,160.0,0.0,29.0,1.0,energetic,100.0
33.0,0.71,78.0,54.0,8.5,99.0,0.0,83.0,1.0,energetic,97.0
32.7,0.86,74.0,52.0,8.3,167.0,1.0,68.0,0.0,calm,100.0
24.6,0.78,93.0,71.0,4.4,274.0,0.0,21.0,1.0,calm,99.0
10.6,0.52,76.0,65.0,5.7,104.0,1.0,62.0,1.0,calm,78.0
26.8,0.74,69.0,49.0,8.0,54.0,0.0,19.0,0.0,energetic,97.0
31.7,0.89,58.0,56.0,5.5,170.0,0.0,73.0,0.0,calm,96.0
32.8,0.77,92.0,74.0,5.4,214.0,1.0,49.0,0.0,energetic,100.0
39.6,0.81,80.0,54.0,6.5,255.0,0.0,85.0,0.0,energetic,100.0
28.6,0.86,76.0,44.0,8.5,268.0,1.0,79.0,0.0,energetic,91.0
13.4,0.72,68.0,61.0,5.6,181.0,0.0,13.0,0.0,energetic,75.0
5.4,0.59,56.0,56.0,8.3,197.0,1.0,73.0,0.0,calm,65.0
28.5,0.84,40.0,39.0,7.6,277.0,1.0,49.0,1.0,energetic,82.0
22.9,0.57,64.0,41.0,4.8,264.0,0.0,34.0,0.0,calm,77.0
31.4,0.94,55.0,50.0,4.7,66.0,0.0,26.0,1.0,calm,97.0
7.6,0.51,67.0,46.0,6.4,92.0,0.0,7.0,0.0,energetic,64.0
21.6,0.71,94.0,68.0,7.6,269.0,0.0,35.0,0.0,energetic,98.0
35.3,0.95,90.0,58.0,4.0,53.0,0.0,62.0,0.0,energetic,100.0
10.2,0.46,63.0,63.0,5.0,264.0,1.0,80.0,0.0,energetic,68.0
16.5,0.75,43.0,43.0,7.4,228.0,1.0,31.0,0.0,energetic,77.0
25.8,0.54,92.0,52.0,8.0,182.0,0.0,50.0,1.0,calm,91.0
12.4,0.68,63.0,43.0,7.0,91.0,0.0,14.0,1.0,calm,72.0
5.2,0.43,62.0,63.0,7.0,173.0,1.0,56.0,0.0,calm,67.0
33.1,0.93,52.0,61.0,9.8,234.0,1.0,80.0,1.0,energetic,95.0
20.9,0.58,77.0,66.0,6.7,80.0,0.0,77.0,1.0,energetic,88.0
23.3,0.66,41.0,49.0,7.2,163.0,1.0,36.0,0.0,energetic,79.0
30.3,0.74,80.0,56.0,8.5,251.0,1.0,85.0,0.0,calm,95.0
7.6,0.57,72.0,60.0,6.4,128.0,0.0,35.0,1.0,energetic,70.0
25.9,0.62,82.0,47.0,8.5,263.0,0.0,61.0,0.0,calm,88.0
19.7,0.75,68.0,67.0,6.0,277.0,0.0,68.0,0.0,energetic,82.0
35.8,0.84,78.0,72.0,4.6,48.0,0.0,10.0,0.0,calm,100.0
28.7,0.61,94.0,60.0,5.8,273.0,1.0,85.0,1.0,energetic,100.0
28.7,0.69,51.0,55.0,9.5,279.0,0.0,17.0,1.0,calm,86.0
31.8,0.78,65.0,60.0,5.4,238.0,1.0,31.0,1.0,energetic,95.0
39.7,0.91,49.0,61.0,6.3,135.0,0.0,14.0,0.0,calm,94.0
14.9,0.49,52.0,53.0,5.9,56.0,1.0,54.0,0.0,calm,71.0
33.6,0.83,70.0,45.0,4.8,263.0,1.0,42.0,1.0,calm,96.0
19.5,0.61,79.0,73.0,4.6,228.0,0.0,25.0,0.0,energetic,84.0
9.4,0.43,90.0,59.0,8.5,239.0,0.0,10.0,1.0,energetic,76.0
39.0,0.97,59.0,48.0,8.9,102.0,0.0,86.0,0.0,energetic,95.0
32.5,0.87,83.0,68.0,9.4,236.0,0.0,58.0,1.0,calm,100.0
37.7,0.91,71.0,61.0,9.6,175.0,0.0,80.0,1.0,energetic,95.0
34.4,0.94,93.0,61.0,9.9,290.0,0.0,67.0,1.0,calm,100.0
29.2,0.82,56.0,45.0,7.0,157.0,0.0,20.0,0.0,energetic,87.0
9.1,0.76,42.0,50.0,6.6,43.0,0.0,75.0,0.0,calm,71.0
39.4,1.0,83.0,61.0,8.9,47.0,0.0,67.0,0.0,calm,100.0
15.4,0.63,48.0,38.0,8.7,278.0,0.0,39.0,1.0,calm,65.0
15.8,0.87,87.0,69.0,6.0,70.0,1.0,31.0,1.0,calm,96.0
19.8,0.46,94.0,55.0,,293.0,0.0,86.0,1.0,calm,85.0
33.8,0.92,92.0,64.0,8.7,286.0,1.0,82.0,0.0,energetic,100.0
19.9,0.58,89.0,61.0,5.2,67.0,1.0,80.0,0.0,energetic,94.0
18.0,0.67,44.0,51.0,8.1,158.0,1.0,90.0,0.0,calm,71.0
21.5,0.63,,34.0,6.1,146.0,1.0,55.0,0.0,calm,67.0
21.6,0.69,54.0,53.0,9.7,278.0,1.0,62.0,0.0,energetic,81.0
6.4,0.57,90.0,67.0,4.7,84.0,1.0,72.0,0.0,calm,82.0
7.6,0.63,69.0,43.0,7.3,289.0,1.0,37.0,0.0,calm,68.0
27.0,0.7,60.0,61.0,6.5,33.0,0.0,27.0,1.0,energetic,91.0
14.9,0.59,80.0,46.0,6.0,227.0,1.0,84.0,1.0,energetic,82.0
11.7,0.56,46.0,62.0,7.0,108.0,1.0,41.0,0.0,calm,69.0
27.6,0.82,53.0,57.0,8.6,94.0,1.0,76.0,0.0,calm,90.0
8.5,0.48,93.0,50.0,9.6,219.0,0.0,88.0,0.0,calm,79.0
11.0,0.49,89.0,68.0,9.7,263.0,1.0,42.0,1.0,energetic,75.0
25.1,0.7,69.0,58.0,6.5,61.0,0.0,51.0,0.0,calm,93.0
37.7,0.81,72.0,59.0,9.9,289.0,1.0,48.0,0.0,energetic,97.0
9.8,0.67,0.3331483617999851,50.0,9.2,172.0,0.0,75.0,1.0,energetic,64.0
19.9,0.63,79.0,51.0,5.0,130.0,1.0,43.0,0.0,energetic,84.0
29.2,0.81,81.0,66.0,7.3,220.0,1.0,65.0,1.0,energetic,99.0
29.1,0.63,81.0,55.0,4.9,75.0,0.0,36.0,0.0,energetic,95.0
39.4,1.0,75.0,58.0,4.4,67.0,1.0,27.0,0.0,calm,100.0
36.8,0.81,65.0,45.0,6.5,237.0,1.0,26.0,1.0,energetic,98.0
11.3,0.63,62.0,55.0,8.4,132.0,1.0,44.0,0.0,energetic,80.0
24.9,0.81,89.0,68.0,5.2,138.0,0.0,21.0,1.0,calm,100.0
25.8,0.68,93.0,58.0,5.0,103.0,1.0,44.0,0.0,calm,95.0
24.2,0.7,42.0,39.0,6.4,144.0,0.0,43.0,0.0,calm,73.0
7.7,0.51,45.0,53.0,7.2,277.0,1.0,45.0,1.0,energetic,64.0
